model,dataset,split,WER,CER
ibm-granite/granite-speech-3.3-8b,google/fleurs,test,0.14002828854314003,0.061245954692556635
ibm-granite/granite-speech-3.3-8b,MLCommons/peoples_speech,test[:100],0.10818546078992558,0.07222844344904815
nvidia/parakeet-tdt-0.6b-v2,mozilla-foundation/common_voice_16_1,test,0.1329608938547486,0.057480472661726414
nvidia/parakeet-tdt-0.6b-v2,openslr/librispeech_asr-test.clean,test.clean,0.15294117647058825,0.031231170917854992
nvidia/parakeet-tdt-0.6b-v2,openslr/librispeech_asr-test.other,test.other,0.2071156289707751,0.0479836651352731
nvidia/parakeet-tdt-0.6b-v2,edinburghcstr/ami-ihm,test,0.3805147058823529,0.16807044410413477
nvidia/parakeet-tdt-0.6b-v2,edinburghcstr/ami-sdm,test,0.4990859232175503,0.31696085955487335
nvidia/parakeet-tdt-0.6b-v2,distil-whisper/earnings22,test,0.24046541693600518,0.1342815544853847
nvidia/parakeet-tdt-0.6b-v2,facebook/voxpopuli,test,0.3014937106918239,0.1656414762741652
nvidia/parakeet-tdt-0.6b-v2,google/fleurs,test,0.14898632720414898,0.03859223300970874
nvidia/parakeet-tdt-0.6b-v2,MLCommons/peoples_speech,test[:100],0.2152261018889525,0.09283314669652856
mistralai/Voxtral-Mini-3B-2507,mozilla-foundation/common_voice_16_1,test,0.15307262569832403,0.07170038053274584
mistralai/Voxtral-Mini-3B-2507,openslr/librispeech_asr-test.clean,test.clean,0.11978609625668449,0.028218517774653545
mistralai/Voxtral-Mini-3B-2507,openslr/librispeech_asr-test.other,test.other,0.17090216010165185,0.04823889739663093
mistralai/Voxtral-Mini-3B-2507,edinburghcstr/ami-ihm,test,0.45588235294117646,0.23085758039816232
mistralai/Voxtral-Mini-3B-2507,edinburghcstr/ami-sdm,test,0.6691042047531993,0.4689178818112049
mistralai/Voxtral-Mini-3B-2507,distil-whisper/earnings22,test,0.21073044602456367,0.10740284466345615
mistralai/Voxtral-Mini-3B-2507,facebook/voxpopuli,test,0.279874213836478,0.13349443468072641
mistralai/Voxtral-Mini-3B-2507,google/fleurs,test,0.1471004243281471,0.03923948220064725
mistralai/Voxtral-Mini-3B-2507,MLCommons/peoples_speech,test[:100],0.25128792215226103,0.12978723404255318
nvidia/canary-qwen-2.5b,mozilla-foundation/common_voice_16_1,test,0.21675977653631284,0.10574804726617264
nvidia/canary-qwen-2.5b,openslr/librispeech_asr-test.clean,test.clean,0.11229946524064172,0.024904599317131956
nvidia/canary-qwen-2.5b,openslr/librispeech_asr-test.other,test.other,0.1454891994917408,0.048111281265952016
nvidia/canary-qwen-2.5b,edinburghcstr/ami-ihm,test,0.2867647058823529,0.2105666156202144
nvidia/canary-qwen-2.5b,edinburghcstr/ami-sdm,test,0.5813528336380256,0.43783576362240983
nvidia/canary-qwen-2.5b,distil-whisper/earnings22,test,0.3154492566257272,0.14044125881957667
nvidia/canary-qwen-2.5b,facebook/voxpopuli,test,0.18199685534591195,0.10493555946104277
nvidia/canary-qwen-2.5b,google/fleurs,test,0.13814238566713813,0.04483288824148256
nvidia/canary-qwen-2.5b,MLCommons/peoples_speech,test[:100],0.15684029765311963,0.08891377379619261
